id,Quartiere,room_type,Prezzo,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,number_of_reviews_ltm,license,Zona di prossimità,Area statistica,Coordinate
12701472,Porto - Saragozza,Entire home/apt,93.0,2,232,2024-03-09,2.44,140,49,,MALPIGHI,MALPIGHI-2,"44.49082, 11.33472"
12786574,San Donato - San Vitale,Entire home/apt,100.0,2,104,2023-12-29,1.09,30,2,,CIRENAICA - MASSARENTI - SCANDELLARA,MENGOLI,"44.49271, 11.36882"
12900891,Porto - Saragozza,Private room,61.0,3,49,2023-11-26,0.52,4,10,,MARCONI,MARCONI-2,"44.49977111816406, 11.33553981781006"
12908674,Santo Stefano,Entire home/apt,86.0,3,300,2024-03-18,3.17,194,42,,GALVANI,GALVANI-2,"44.48723, 11.34073"
13067544,Porto - Saragozza,Entire home/apt,55.0,2,224,2024-03-24,3.15,124,65,Foglio: 183 - Particella: 751 - Subalterno: 34,SAFFI,VIA VITTORIO VENETO,"44.50115585327149, 11.320310592651367"
13190073,Santo Stefano,Entire home/apt,90.0,1,182,2024-02-25,2.19,232,27,037006-cv-00156,IRNERIO,IRNERIO-2,"44.4925826, 11.3551768"
13240675,Santo Stefano,Entire home/apt,150.0,5,1,2018-11-10,0.02,50,0,,OSSERVANZA - PADERNO,SAN MICHELE IN BOSCO,"44.48128, 11.34827"
13284919,Porto - Saragozza,Entire home/apt,115.0,2,30,2022-06-07,0.33,61,0,,MALPIGHI,MALPIGHI-2,"44.49715, 11.33199"
13403411,Santo Stefano,Entire home/apt,100.0,2,142,2023-12-31,1.51,128,40,,IRNERIO,IRNERIO-2,"44.49163, 11.35554"
13535668,Porto - Saragozza,Entire home/apt,120.0,3,125,2023-10-31,1.35,214,5,,MARCONI,MARCONI-2,"44.49643, 11.33523"
13626963,Porto - Saragozza,Private room,114.0,1,48,2023-09-26,0.56,326,6,,SAFFI,VELODROMO,"44.50276, 11.30965"
13694444,Porto - Saragozza,Private room,,2,10,2020-01-02,0.13,1,0,,MALPIGHI,MALPIGHI-1,"44.49407, 11.34051"
13860061,Porto - Saragozza,Private room,260.0,3,1,2021-09-13,0.03,90,0,,MARCONI,MARCONI-2,"44.50407, 11.33661"
14001790,Porto - Saragozza,Entire home/apt,154.0,1,107,2023-10-13,1.16,115,2,,MALPIGHI,MALPIGHI-2,"44.49577, 11.33299"
14241471,Santo Stefano,Entire home/apt,414.0,3,29,2024-03-04,0.34,155,16,,IRNERIO,IRNERIO-2,"44.49178695678711, 11.353053092956545"
14609321,Santo Stefano,Entire home/apt,115.0,2,170,2024-03-01,2.0,195,36,037006-AT-00750,GALVANI,GALVANI-2,"44.48864, 11.34818"
14680826,Porto - Saragozza,Entire home/apt,129.0,2,258,2024-03-18,2.82,41,42,,SAFFI,VIA VITTORIO VENETO,"44.4981, 11.31797"
14775405,Porto - Saragozza,Entire home/apt,77.0,3,385,2024-03-06,4.21,75,46,,MARCONI,MARCONI-2,"44.50404, 11.3378"
14803845,Santo Stefano,Entire home/apt,46.0,1,150,2024-03-04,1.67,269,25,,GALVANI,GALVANI-2,"44.48729, 11.34186"
14913961,Borgo Panigale - Reno,Entire home/apt,,1,1,2016-09-29,0.01,27,0,,BARCA,CANALE DI RENO,"44.49521, 11.30079"
15054510,Santo Stefano,Entire home/apt,60.0,2,57,2020-02-17,0.62,75,0,,IRNERIO,IRNERIO-2,"44.49487, 11.35682"
15069502,Navile,Private room,135.0,1,11,2023-10-23,0.12,365,3,,BOLOGNINA,PIAZZA DELL'UNITA',"44.5054, 11.34888"
15095809,Santo Stefano,Private room,148.0,1,9,2022-10-03,0.13,363,0,,IRNERIO,IRNERIO-2,"44.50497, 11.34869"
15120401,Santo Stefano,Entire home/apt,343.0,2,100,2024-02-17,1.1,163,31,037006-CV-00593,IRNERIO,IRNERIO-1,"44.493687, 11.348055"
15185527,Savena,Entire home/apt,109.0,1,34,2024-02-18,1.63,64,6,ZFFFNC75T27D976N-202206281707-2557352,PONTEVECCHIO - MAZZINI,PONTEVECCHIO,"44.47772, 11.37961"
15369387,San Donato - San Vitale,Private room,107.0,1,5,2023-03-20,0.06,27,0,,CIRENAICA - MASSARENTI - SCANDELLARA,MENGOLI,"44.48613, 11.37117"
15387366,Savena,Private room,64.0,1,30,2023-09-25,0.34,263,3,,VIA TOSCANA - S. RUFFILLO - MONTE DONATO,MONTE DONATO,"44.4617, 11.35654"
15459577,San Donato - San Vitale,Entire home/apt,85.0,42,12,2022-08-02,0.13,122,0,,SAN DONATO VECCHIO,SAN DONNINO,"44.50233, 11.37597"
15460234,Porto - Saragozza,Entire home/apt,109.0,1,94,2023-10-18,1.1,37,11,037006-AT-00723,MARCONI,MARCONI-2,"44.504543, 11.341329"
15504889,Porto - Saragozza,Private room,106.0,1,101,2023-06-26,1.12,128,1,354916,MARCONI,MARCONI-2,"44.49906, 11.34274"
15507694,Porto - Saragozza,Entire home/apt,128.0,2,231,2024-03-12,2.64,29,48,037006-AT-02918,MALPIGHI,MARCONI-1,"44.4989, 11.33943"
15510679,Porto - Saragozza,Private room,133.0,1,186,2023-11-12,2.07,126,9,037006-AF-00448,MALPIGHI,MARCONI-1,"44.49898, 11.34308"
15526175,Porto - Saragozza,Private room,106.0,1,162,2024-02-03,1.81,121,9,037006-AF-00448,MALPIGHI,MARCONI-1,"44.49826, 11.34338"
15527068,Porto - Saragozza,Private room,89.0,1,58,2023-04-18,0.65,134,1,037006-AF-00448,MARCONI,MARCONI-2,"44.49906, 11.3422"
15555710,Navile,Entire home/apt,100.0,4,35,2024-01-01,0.39,277,3,,BOLOGNINA,VIA FERRARESE,"44.51216, 11.3561"
15595230,San Donato - San Vitale,Private room,77.0,1,48,2024-03-24,0.54,70,9,,SAN DONATO VECCHIO,MICHELINO,"44.50456, 11.37219"
15670106,Porto - Saragozza,Private room,63.0,2,295,2024-03-18,3.31,66,28,,MARCONI,MARCONI-2,"44.49896, 11.3367"
15672549,Santo Stefano,Entire home/apt,130.0,3,168,2024-01-02,1.91,158,24,037006-AT-00704,OSSERVANZA - PADERNO,SAN MICHELE IN BOSCO,"44.48147, 11.3478"
15842110,Navile,Entire home/apt,206.0,4,11,2019-09-28,0.12,89,0,,BOLOGNINA,VIA FERRARESE,"44.51343, 11.35172"
15878919,San Donato - San Vitale,Entire home/apt,96.0,1,3,2024-01-10,0.6,237,3,636010 del 28/09/2023,CIRENAICA - MASSARENTI - SCANDELLARA,GUELFA,"44.49325840647523, 11.377979135508737"
15886516,Santo Stefano,Entire home/apt,89.0,1,722,2024-03-21,8.81,249,118,037006-AT-02993,IRNERIO,IRNERIO-1,"44.49432373046875, 11.346529006958008"
