Geo Point;Geo Shape;Tipo di arredo;Data Aggiornamento;quartiere;area statistica;zona prossimita;Stato di conservazione
44.478032043604834, 11.382953879572902;"{""coordinates"": [11.382953879572902, 44.478032043604834], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-29;Savena;BITONE;PONTEVECCHIO - MAZZINI;BUONO
44.488935403494125, 11.378332898218748;"{""coordinates"": [11.378332898218748, 44.488935403494125], ""type"": ""Point""}";Tabelle (monitorie e indicative);2005-10-13;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;BUONO
44.48885804967666, 11.378572756559155;"{""coordinates"": [11.378572756559155, 44.48885804967666], ""type"": ""Point""}";Cestino in metallo;2005-10-13;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;BUONO
44.487832758804416, 11.380600889758641;"{""coordinates"": [11.380600889758641, 44.487832758804416], ""type"": ""Point""}";Cestino in metallo;2022-11-14;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;BUONO
44.48884959134877, 11.379081246639222;"{""coordinates"": [11.379081246639222, 44.48884959134877], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-13;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;DISCRETO
44.48888313303548, 11.379448773393705;"{""coordinates"": [11.379448773393705, 44.48888313303548], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-13;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;BUONO
44.48829877754517, 11.380536822559202;"{""coordinates"": [11.380536822559202, 44.48829877754517], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-16;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;DISCRETO
44.488946805769665, 11.379600538715495;"{""coordinates"": [11.379600538715495, 44.488946805769665], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-16;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;DISCRETO
44.4894274223717, 11.381644155380918;"{""coordinates"": [11.381644155380918, 44.4894274223717], ""type"": ""Point""}";Tabelle (monitorie e indicative);2005-10-13;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;BUONO
44.47606743488511, 11.382118630386481;"{""coordinates"": [11.382118630386481, 44.47606743488511], ""type"": ""Point""}";Panchina in legno e metallo;2005-09-29;Savena;BITONE;PONTEVECCHIO - MAZZINI;DISCRETO
44.477689612730266, 11.390395970756964;"{""coordinates"": [11.390395970756964, 44.477689612730266], ""type"": ""Point""}";Cestino in metallo;2005-10-11;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;SCADENTE
44.47784333600712, 11.390786204409917;"{""coordinates"": [11.390786204409917, 44.47784333600712], ""type"": ""Point""}";Cestino in metallo;2005-10-11;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;DISCRETO
44.47799089900936, 11.390666859255084;"{""coordinates"": [11.390666859255084, 44.47799089900936], ""type"": ""Point""}";Cestino in metallo;2005-10-11;Savena;FOSSOLO;FOSSOLO - DUE MADONNE;DISCRETO
44.47160443553668, 11.390460165383132;"{""coordinates"": [11.390460165383132, 44.47160443553668], ""type"": ""Point""}";Cestino in metallo;2005-10-09;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;SCADENTE
44.47195201525393, 11.388960952715504;"{""coordinates"": [11.388960952715504, 44.47195201525393], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-05;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;DISCRETO
44.474061444407674, 11.39193112350006;"{""coordinates"": [11.39193112350006, 44.474061444407674], ""type"": ""Point""}";Panchina in legno e metallo;2005-10-18;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47413331925774, 11.391979752551654;"{""coordinates"": [11.391979752551654, 44.47413331925774], ""type"": ""Point""}";Portabici;2005-10-18;Savena;VIA ARNO;PONTEVECCHIO - MAZZINI;BUONO
44.47387020516648, 11.387208100603422;"{""coordinates"": [11.387208100603422, 44.47387020516648], ""type"": ""Point""}";Cestino in metallo;2005-10-09;Savena;BITONE;PONTEVECCHIO - MAZZINI;DISCRETO
44.474216518365985, 11.387435154227703;"{""coordinates"": [11.387435154227703, 44.474216518365985], ""type"": ""Point""}";Tabelle (monitorie e indicative);2005-10-09;Savena;BITONE;PONTEVECCHIO - MAZZINI;BUONO
