Geo Point;Geo Shape;Edizione bilancio partecipativo;Progetto;Quartiere;Luogo;Attuazione;Stato;Descrizione;Beneficiario;Importo;Link;area statistica;zona di prossimità
44.49708235132143, 11.383262581892318;"{""coordinates"": [[11.383262581892318, 44.49708235132143]], ""type"": ""MultiPoint""}";2019/20;Scandellara Rocks;San Donato - San Vitale;Scuderie all'interno del parco di Villa Scandellara, via Scandellara 50;in corso di realizzazione;in progettazione;Nuova musica alle scuderie del parco di Villa Scandellara - messa in sicurezza e ristrutturazione dell’edificio al fine di proseguire e valorizzare attività di aggregazione legate alla musica (..) e con l’intento di coinvolgere la cittadinanza;Bambini, ragazzi/e frequentanti le scuole primarie e medie Scandellara, residenti della zona, cittadini e associazioni, musicisti professionisti, aspiranti musicisti anche provenienti da fuori città, adolescenti e giovani che abitano il territorio;136000.0;;SCANDELLARA;CIRENAICA - MASSARENTI - SCANDELLARA
44.49351093847621, 11.354628203691163;"{""coordinates"": [[11.354628203691163, 44.49351093847621]], ""type"": ""MultiPoint""}";2018;Quadrilatero Verde;Santo Stefano;Vicolo Bolognetti, via Broccaindosso, Quadriportico, arena Orfeonica, corte interna della scuola Reni-Zamboni;in corso di realizzazione;in corso di approvazione;Percorsi tra vicolo Bolognetti e via Broccaindosso - Il progetto vuole promuovere nell’area interventi per migliorare la vivibilità e l’accessibilità degli spazi, vivacizzare ed incrementare la socialità [..];rivolto a tutti e tutte gli/le abitanti del quartiere della città senza distinzioni di età, provenienza ed estrazione sociale con particolare attenzione agli/alle alunni e alunne, genitori e docenti delle scuole adiacenti [..];120000.0;;IRNERIO-2;IRNERIO
44.49598803911441, 11.366288097914266;"{""coordinates"": [[11.366288097914266, 44.49598803911441]], ""type"": ""MultiPoint""}";2017;Atelier dei Saperi - Spazio di aggregazione;San Donato - San Vitale;Ex Palestra Scuole Giordani, via Sante Graziani;realizzato;finito;Ristrutturazione dell'ex palestra scuole Giordani per trasformarla in uno spazio-laboratorio dedicato agli adolescenti e pre-adolescenti del quartiere;Adolescenti e preadolescenti, genitori, operatori cittadini;130000.0;;CIRENAICA;CIRENAICA - MASSARENTI - SCANDELLARA
44.51706676626669, 11.278898482887064;"{""coordinates"": [[11.278898482887064, 44.51706676626669]], ""type"": ""MultiPoint""}";2017;Cuore del Borgo;Borgo Panigale - Reno;Spazi aperti tra via Lepido e via Panigale, in particolare la piazza antistante il Centro Civico e la zona Italia Nuova - Play Ground Basket;candidato al voto;;Riqualificazione degli spazi introno alla sede del quartiere a Borgo Panigale;È rivolta all’intera comunità di Borgo Panigale-Reno, con possibile fruizione, visto il carattere di centralità urbana, anche di cittadini di altri quartieri e comuni limitrofi;90000.0;;BORGO CENTRO;BORGO PANIGALE
44.52587767096052, 11.316288907888199;"{""coordinates"": [[11.316288907888199, 44.52587767096052]], ""type"": ""MultiPoint""}";2017;Spazio 290 nel comparto Agucchi/Zanardi;Navile;Via Agucchi 290/A;candidato al voto;;Recupero di uno spazio come luogo di condivisione per residenti e associazioni;I residenti del comparto, gli abitanti della zona, l’intera cittadinanza;65000.0;;PESCAROLA;BERTALIA - NOCE
44.522291331793554, 11.314980546822571;"{""coordinates"": [[11.314980546822571, 44.522291331793554]], ""type"": ""MultiPoint""}";2017;Trasformazioni al parco Louis Braille in zona Pescarola;Navile;Parco Braille, via Agucchi 181 (tra via Agucchi e Via di Bertalia);candidato al voto;;Nuovi arredi per lo sport, il gioco e area cani;Bambini, adulti, anziani... abili e meno abili, gli abituali frequentatori del parco, o nuove persone interessate alle attività proposte;110000.0;;PESCAROLA;BERTALIA - NOCE
44.50270267160975, 11.326702302388822;"{""coordinates"": [[11.326702302388822, 44.50270267160975]], ""type"": ""MultiPoint""}";2017;Ri-gener-azioni Popolari;Porto Saragozza;Il progetto deve essere realizzato all’interno del comparto di case popolari compreso tra le vie Dello Scalo, Malvasia, Casarini e Pier De’ Crescenzi;candidato al voto;;Recupero delle aree verdi e degli spazi comuni del Quadrilatero Malvasia per una migliore vivibilità e socialità;"Residenti e frequentatori dell’area; tra questi i gruppi beneficiari principali sono individuati tra i residenti: giovanissimi, anziani e nuclei familiari [..]";100000.0;;ZANARDI;SAFFI
44.50303327164849, 11.357461751129998;"{""coordinates"": [[11.357461751129998, 44.50303327164849]], ""type"": ""MultiPoint""}";2017;Connessioni al parco;San Donato - San Vitale;Nel Giardino Parker Lennon: prato tra Via Sacco e Via Fregoli, Campo Elia Do e spogliatoi;candidato al voto;;Attrezzature sportive e wi-fi per l’aggregazioneal giardino Parker-Lennon;Residenti dell’area interessata e fruitori della zona per ragioni di studio o lavoro. Tutti i residenti della zona con particolare attenzione verso bambini, preadolescenti e adolescenti;100000.0;;VIA DEL LAVORO;SAN DONATO VECCHIO
44.49862441124936, 11.360791396995445;"{""coordinates"": [[11.360791396995445, 44.49862441124936]], ""type"": ""MultiPoint""}";2017;Spazi vivibili e sostenibili;San Donato - San Vitale;Nell’area antistante al Centro Beltrame (via P. Fabbri 110) e nel Parco/Giardino Lorenzo Giusti;candidato al voto;;Aree senza bariere architettoniche, con giochi e un frutteto di varietà anctiche al Centro Beltrame e al giardino Lorenzo Giusti;"I soggetti a cui si rivolge sono tutti i residenti e in particolare famiglie, bambini, bambini con difficoltà fisiche, studenti adolescenti, anziani, etc; la comunità della Cirenaica; gli ospiti del Centro Beltrame [..]";100000.0;;CIRENAICA;CIRENAICA - MASSARENTI - SCANDELLARA
44.4692858253215, 11.387386421860649;"{""coordinates"": [[11.387386421860649, 44.4692858253215]], ""type"": ""MultiPoint""}";2017;Piazza Portazza;Savena;Via Padova, via Pieve di Cadore, via Osoppo;candidato al voto;;Uno spazio pubblico per la socializzazione e la condivisione in via Pieve di Cadore;Tutti gli abitanti dell’area e inoltre i frequentatori del mercato ortofrutticolo settimanale, i partecipanti alle iniziative del nuovo Centro Civico e le associazioni della zona;130000.0;;VIA ARNO;PONTEVECCHIO - MAZZINI
44.49428284070231, 11.283529955513151;"{""coordinates"": [[11.283529955513151, 44.49428284070231]], ""type"": ""MultiPoint""}";2019/20;La nuova porta al centro;Borgo Panigale - Reno;Via Grandi - Via Torricelli - Centro Sportivo;candidato al voto;;Un percorso ciclo-pedonale per raggiungere il centro sportivo Barca;"Abitanti del quartiere, in particolare gli adolescenti; utenti del centro sportivo non necessariamente residenti nel quartiere";136000.0;;VILLAGGIO DELLA BARCA;BARCA
44.493107325163294, 11.290361609038701;"{""coordinates"": [[11.290361609038701, 44.493107325163294]], ""type"": ""MultiPoint""}";2019/20;STILLA - The green pill;Borgo Panigale - Reno;Centro Rosa Marchi e eventuali altri luoghi da definire;candidato al voto;;Creazione presso il Centro Rosa Marchi di un info-point sul riuso con un punto di erogazione di acqua potabile refrigerata;Cittadinanza, cittadini locali, fruitori area verde e famiglie;136000.0;;BATTINDARNO;BARCA
44.53968662944086, 11.353183805885287;"{""coordinates"": [[11.353183805885287, 44.53968662944086]], ""type"": ""MultiPoint""}";2018;Parco dei giardini per i giovani;Navile;Parco dei Giardini - Piazza Polivalente, Via dell’arcoveggio 59/b;candidato al voto;;Il parco come cortile di tutti;Giovani frequentatori del parco;130000.0;;CROCE COPERTA;CORTICELLA - DOZZA
44.53751288242469, 11.35346629173988;"{""coordinates"": [[11.35346629173988, 44.53751288242469]], ""type"": ""MultiPoint""}";2018;Roncaglio Artlab;Navile;Spazio ex fornace Roncaglio, via Roncaglio 11/12;candidato al voto;;Uno spazio rigenerato per promuovere cultura e creatività;Il progetto è rivolto principalmente alle scuole di ogni ordine e grado, al turismo, a tutta la cittadinanza, con un’attenzione particolare agli abitanti del condominio Roncaglio e degli insediamenti ACER della zona nonché alle associazioni/centri so;130000.0;;CROCE COPERTA;CORTICELLA - DOZZA
44.54613781102978, 11.359759856077952;"{""coordinates"": [[11.359759856077952, 44.54613781102978]], ""type"": ""MultiPoint""}";2018;Terrazza-menti;Navile;Porzione delle terrazze del Centro Civico Michelini, Via Massimo Gorki, 14;candidato al voto;;Socializzare, giocare e oziare sui tetti del Centro Civico Michelini di Corticella;Adolescenti, studenti, residenti della zona Corticella, associazioni del quartiere, biblioteca, anziani;130000.0;;SAN SAVINO;CORTICELLA - DOZZA
44.490766090137996, 11.311607975585966;"{""coordinates"": [[11.311607975585966, 44.490766090137996]], ""type"": ""MultiPoint""}";2018;La metropolitane dei passi;Porto Saragozza;"dorsale di Via Saragozza; Piazza della Pace e collegamento ciclopedonale con i giardini Giacomo Bulgarelli e Bandiera-De Coubertin; collegamento pedonale tra via Felice Battaglia e via di Casaglia";candidato al voto;;Ricucitura urbana tra spazi pubblici e aree verdi tra collina e città - La proposta intende realizzare interventi di “ricucitura” con una segnaletica coordinata diffusa per rendere più facilmente fruibili e accessibili i percorsi esistenti [..];Cittadini, turisti e City Users, studenti, sportivi;130000.0;;XXI APRILE;SARAGOZZA - SAN LUCA
44.49297569928065, 11.32123902149854;"{""coordinates"": [[11.32123902149854, 44.49297569928065]], ""type"": ""MultiPoint""}";2018;Tana libera tutte e tutti!;Porto Saragozza;"L’intervento principale riguarda il parco Melloni e i suoi accessi; gli interventi minori riguardano dei luoghi del quartiere limitrofi all’area interessata da congiungere simbolicamente al parco";candidato al voto;;Parco giochi della Resistenza al parco Melloni;Adulti e bambini del quartiere, bolognesi non residenti nel quartiere e turisti;130000.0;;XXI APRILE;SARAGOZZA - SAN LUCA
44.4862600378623, 11.31710357466638;"{""coordinates"": [[11.31710357466638, 44.4862600378623]], ""type"": ""MultiPoint""}";2018;Una nuova Felice Battaglia;Porto Saragozza;Parco del Barone Rampante in via Felice Battaglia;candidato al voto;;Nuova polifunzionalità al parco del Barone Rampante;Residenti, in particolare bambini e famiglie del nido Gaia e delle scuole De Stefani, proprietari di cani e cittadini che frequentano la zona;100000.0;;RAVONE;SARAGOZZA - SAN LUCA
44.48701096676175, 11.314824155825015;"{""coordinates"": [[11.314824155825015, 44.48701096676175]], ""type"": ""MultiPoint""}";2018;Villa Spada, una stanza all'aperto;Porto Saragozza;Parco di villa Spada, Biblioteca Tassinari Clò, Monumento alle 128 Partigiane;candidato al voto;;Collegamento accessibile tra la biblioteca e il monumento alle Donne Partigiane;I cittadini fruitori del parco, del Museo della tappezzeria, del giardino all’italiana e della biblioteca;130000.0;;RAVONE;SARAGOZZA - SAN LUCA
44.49477951952155, 11.386441049426967;"{""coordinates"": [[11.386441049426967, 44.49477951952155]], ""type"": ""MultiPoint""}";2018;Meridiana: un giardino quattro stagioni;San Donato - San Vitale;Giardino Meridiana (compreso tra via della Robbia, via Cellini, via Levante e via del Verrocchio);candidato al voto;;Uno spazio per tutti dove condividere esperienze sempre verdi;I beneficiari principali del progetto sono i residenti nell’area e nello specifico i bambini, le famiglie, gli anziani ma anche i giovani;130000.0;;GUELFA;CIRENAICA - MASSARENTI - SCANDELLARA
44.51381443544088, 11.35490009971554;"{""coordinates"": [[11.35490009971554, 44.51381443544088]], ""type"": ""MultiPoint""}";2019/20;I giardini polifunzionali di via Parri;Navile;Parco e Sgambatoio Cani - via Ferruccio Parri 15, Parco di via Ferruccio Parri;candidato al voto;;Nuovi spazi di socializzazione e sport per ragazzi e famiglie al giardino di via Parri;I cittadini ed i residenti della zona, in particolare le famiglie;136000.0;;VIA FERRARESE;BOLOGNINA
44.527717047095635, 11.368842329609977;"{""coordinates"": [[11.368842329609977, 44.527717047095635]], ""type"": ""MultiPoint""}";2019/20;Un'area verde attrattiva e fruibile;Navile;Centro Sportivo Bonori - Via della Romita 2/7;candidato al voto;;Riqualificazione dell’area verde della Dozza;Cittadini della zona e della città;136000.0;;SAVENA ABBANDONATO;CORTICELLA - DOZZA
44.476930851656434, 11.327055873656443;"{""coordinates"": [[11.327055873656443, 44.476930851656434]], ""type"": ""MultiPoint""}";2019/20;Il pozzo della Casa del Custode e la facciata di Villa Ghigi;Santo Stefano;Casa del Custode - Villa Ghigi;candidato al voto;;Restauro del pozzo antistante alla Casa del Custode e messa in sicurezza della facciata di Villa Ghigi;Tutta la cittadinanza;136000.0;;PADERNO;OSSERVANZA - PADERNO
44.47672313651445, 11.396970469989459;"{""coordinates"": [[11.396970469989459, 44.47672313651445]], ""type"": ""MultiPoint""}";2019/20;La Casetta del Villaggio;Savena;Piazza Lambrakis;candidato al voto;;Uno spazio per la comunità in Piazza Lambrakis;Associazioni, comitati orbitanti attorno alla piazza Lambrakis. Attività commerciali.;136000.0;;DUE MADONNE;FOSSOLO - DUE MADONNE
44.48692659689755, 11.386403175487667;"{""coordinates"": [[11.386403175487667, 44.48692659689755]], ""type"": ""MultiPoint""}";2019/20;Parchi vivi per la memoria;Savena;"Giardino pubblico Brigata Partigiana Maiella; Giardino Vittime della Uno
Bianca";candidato al voto;;"Più luce ed attrezzature per vivere il giardino Vittime della Uno Bianca e il
giardino Brigata Partigiana Maiella";"I residenti della zona, gli alunni delle scuole presenti sul territorio (IC12, Manfredi Tanari),
cittadini di Bologna nel quadro della valorizzazione della memoria storica e della
cittadinanza attiva";136000.0;;FOSSOLO;FOSSOLO - DUE MADONNE
44.52114367108819, 11.297558798530464;"{""coordinates"": [[11.297558798530464, 44.52114367108819]], ""type"": ""MultiPoint""}";2023;Acqua, verde, sport e cultura tra Santa Viola e la Birra;Borgo Panigale - Reno;Giardino Santa Viola, Giardino Otello Colli, Giardino Enel Speranza (di fronte al MAST), Parco Grant Banting, rotonda Ospedale Maggiore;candidato al voto;;Riqualificazione ambientale dell’area incentrata sull’acqua (no plastica), l’aumento del verde, la realizzazione di percorsi ginnici, la diffusione di saperi e cultura legati all’ambiente e all’arte;Tutta la cittadinanza;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/acqua-verde-sport-e-cultura;LA BIRRA;BIRRA - BARGELLINO - LAVINO
44.507171895113366, 11.305201149895058;"{""coordinates"": [[11.305201149895058, 44.507171895113366]], ""type"": ""MultiPoint""}";2023;Case di Quartiere accessibili a tutte le persone;Borgo Panigale - Reno;Spazi esterni delle Case di Quartiere Villa Bernaroli, Il Parco, Santa Viola;candidato al voto;;Realizzare nelle Case di Quartiere Villa Bernaroli, Il Parco e Santa Viola percorsi adatti a persone con disabilità visive e motorie e parchi giochi inclusivi, oltre ad attività culturali,  di educazione e di sensibilizzazione [..];Tutti i cittadini, bambini e bambine e persone con disabilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/case-di-quartiere-accessibili-a-tutte-le-persone;AGUCCHI;SANTA VIOLA
44.50924007323441, 11.36006419101124;"{""coordinates"": [[11.36006419101124, 44.50924007323441]], ""type"": ""MultiPoint""}";2023;Chiostri a colori;San Donato - San Vitale;Scuola primaria Chiostri;candidato al voto;;Il progetto propone di realizzare uno spazio educativo, ricreativo e culturale per la scuola e tutto il quartiere;Studenti e famiglie, docenti e personale, quartiere nella sua interezza;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/chiostri-a-colori;VIA DEL LAVORO;SAN DONATO VECCHIO
44.5137319821648, 11.392151983053775;"{""coordinates"": [[11.392151983053775, 44.5137319821648]], ""type"": ""MultiPoint""}";2023;Pasolini insieme;San Donato - San Vitale;Parco Pier Paolo Pasolini;candidato al voto;;Il progetto propone una serie di interventi di riqualificazione del Parco Pasolini per renderlo un punto di riferimento per la comunità del Pilastro e permettere alle famiglie del Pilastro di usufruire del parco e di creare comunità;Famiglie del Pilastro;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/pasolini-insieme;PILASTRO;SAN DONATO NUOVO
44.4928649770374, 11.290877497112733;"{""coordinates"": [[11.290877497112733, 44.4928649770374]], ""type"": ""MultiPoint""}";2023;Skate park al Rosa Marchi;Borgo Panigale - Reno;Via Pietro Nenni, 11;candidato al voto;;Realizzare uno skate park, con attrezzature e impianti adeguati alla disciplina dello skateboarding, che permetterà a giovani e non di aggregarsi e fare sport all’aria aperta;Bambini e bambine, adolescenti ma anche persone adulte e comunità straniere;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/skate-park-al-rosa-marchi;BATTINDARNO;BARCA
44.478478664316874, 11.374717837587713;"{""coordinates"": [[11.374717837587713, 44.478478664316874]], ""type"": ""MultiPoint""}";2023;Spazi per tutte le persone alla Lunetta;Santo Stefano;Ex centro giovanile Moratello, sotto gli spalti del campo da calcio e bagni della Casa di Quartiere nel Parco Lunetta Gamberini;vincitore;;Il progetto propone di riqualificare e ristrutturare gli spazi dell’ex Centro giovanile Moratello per realizzare uno spazio di aggregazione per adolescenti e preadolescenti nonché spazi dedicati al sostegno alla genitorialità [..];Adolescenti, bambini, famiglie e i frequentatori del Parco;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/spazi-per-tutte-le-persone-alla-lunetta;DAGNINI;MURRI
44.48027146831038, 11.3942197346613;"{""coordinates"": [[11.3942197346613, 44.48027146831038]], ""type"": ""MultiPoint""}";2023;"Sport a cielo aperto ""Due salti al Savena""";Savena;Giardino Peppino Impastato, via Carlo Carli;candidato al voto;;Il progetto propone di realizzare un percorso ludico-sportivo fruibile anche nelle ore serali per permettere alle persone di tutte le età di socializzare e stare in forma;Bambini, adolescenti, adulti e anziani;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/sport-a-cielo-aperto-due-salti-al-savena;DUE MADONNE;FOSSOLO - DUE MADONNE
44.49688362084529, 11.346555170129031;"{""coordinates"": [[11.346555170129031, 44.49688362084529]], ""type"": ""MultiPoint""}";2023;Sprazzi Verdi in Piazza San Martino;Santo Stefano;Piazza San Martino;candidato al voto;;Creare in  Piazza San Martino “un angolo della città a misura d’uomo”, che permetterà a cittadini, turisti e residenti di godere di un “nuovo spazio” grazie alla realizzazione di un ambiente vivibile di socialità, pace e di ossigeno;Tutti;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/sprazzi-verdi-in-piazza-san-martino;IRNERIO-1;IRNERIO
44.52317098900244, 11.268770968737584;"{""coordinates"": [[11.267088160199494, 44.524803850600804], [11.270453777275677, 44.521538127404064]], ""type"": ""MultiPoint""}";2023;Parco libera tutti;Borgo Panigale - Reno;Giardino dei Pioppi e Giardino di via Biancolelli;candidato al voto;;Realizzare una rete di spazi verdi al Villaggio INA e di valorizzare le connessioni con le aree limitrofe, inserire recinzioni, implementare i cestini per la raccolta differenziata e realizzare una struttura coperta;La cittadinanza del Villaggio INA: bambini, famiglie, giovani e anziani. La cittadinanza intera creando un nuovo polo attrattivo verde;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/parco-libera-tutti;DUCATI-VILLAGGIO INA;BORGO PANIGALE
44.49981897164625, 11.29160888972293;"{""coordinates"": [[11.29160888972293, 44.49981897164625]], ""type"": ""MultiPoint""}";2023;Uno spazio per tutte le persone, uno spazio per la socialitá alla Barca;Borgo Panigale - Reno;Scuola Giovanni XXIII, Giardino CEP 2 Barca, Ghiacciaia Lambertini;candidato al voto;;Realizzare una palestra inclusiva, spazi inclusivi, accessibili a tutti, che permetteranno di sviluppare e migliorare la socialità;Bambine e bambini, ragazze e ragazzi, cittadini e cittadine;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/uno-spazio-per-tutte-le-persone;BATTINDARNO;BARCA
44.5202210252456, 11.326723439118192;"{""coordinates"": [[11.326521361835704, 44.52101132572838], [11.326591123463093, 44.518985266078964], [11.327057832055777, 44.52066648392944]], ""type"": ""MultiPoint""}";2023;Per una Casa Gialla più conviviale e un Parco Broschi più pulito;Navile;Il Parco Broschi, la Casa di Quartiere Casa Gialla e la Piazza da Verrazzano;candidato al voto;;Il progetto propone di piantare nuovi alberi al Parco Broschi, alla CdQ Casa Gialla e nella Piazza da Verrazzano, realizzare dei nuovi camminamenti e una nuova struttura a copertura dell’ex bocciodromo e mettere a norma la cucina della CdQ;I cittadini, le famiglie, le persone anziane e i bambini della zona;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/per-una-casa-gialla-piu-conviviale;BEVERARA;BEVERARA
44.50175433295662, 11.335132603669221;"{""coordinates"": [[11.33097672187403, 44.5010817247846], [11.33524091054489, 44.501648413628246], [11.336579494192337, 44.50003439717557], [11.337733288065628, 44.50425279623807]], ""type"": ""MultiPoint""}";2023;Il Porto Verde di Bologna;Porto - Saragozza;Giardino Graziella Fava, via Cairoli, Parco 11 settembre 2001, via Mura di Porta Lame, via Azzo Gardino, Casa di Quartiere Giorgio Costa, giardino Stefano Casagrande, giardino Lorusso, Casa di Quartiere Saffi, via dello Scalo;vincitore;;La proposta riguarda i parchi e i giardini della zona Marconi, in particolare quelli a ridosso delle mura storiche e interni alla Manifattura delle Arti, in connessione con altri spazi pubblici fuori delle mura[..];Cittadinanza: sia residenti che nuovi potenziali fruitori dello spazio;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/il-porto-verde-di-bologna;MARCONI-2;MARCONI
44.50241262469098, 11.329612195758143;"{""coordinates"": [[11.329335320266223, 44.502217037053185], [11.329889071250063, 44.50260821232878]], ""type"": ""MultiPoint""}";2023;Il Porto Verde di Bologna;Porto - Saragozza;Giardino Graziella Fava, via Cairoli, Parco 11 settembre 2001, via Mura di Porta Lame, via Azzo Gardino, Casa di Quartiere Giorgio Costa, giardino Stefano Casagrande, giardino Lorusso, Casa di Quartiere Saffi, via dello Scalo;vincitore;;La proposta riguarda i parchi e i giardini della zona Marconi, in particolare quelli a ridosso delle mura storiche e interni alla Manifattura delle Arti, in connessione con altri spazi pubblici fuori delle mura[..];Cittadinanza: sia residenti che nuovi potenziali fruitori dello spazio;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/il-porto-verde-di-bologna;ZANARDI;SAFFI
44.49011976113951, 11.311001836308737;"{""coordinates"": [[11.311001836308737, 44.49011976113951]], ""type"": ""MultiPoint""}";2023;Uniamo i giardini!;Porto - Saragozza;Piazza della Pace, Giardino Bandiera De Coubertin, Portico Meloncello-Saragozza, Villa Spada, via Bandiera, via XXI Aprile, via Curiel, via Turati e Giardino del Barone Rampante;candidato al voto;;Realizzare interventi di riqualificazione degli spazi per favorire lo svolgimento di eventi e iniziative culturali e percorsi volti al benessere e all’inclusione e permettere a cittadini e frequentatori di vivere meglio gli spazi verdi all’aperto;Cittadini, turisti, famiglie con minori e con particolare attenzione per le persone con fragilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/uniamo-i-giardini;STADIO-MELONCELLO;SARAGOZZA - SAN LUCA
44.49625254594309, 11.370818727339534;"{""coordinates"": [[11.370818727339534, 44.49625254594309]], ""type"": ""MultiPoint""}";2023;Case Go Green;San Donato - San Vitale;Casa di Quartiere Scipione dal Ferro, Casa di Quartiere Pilastro, Casa di Quartiere Ca’ Solare, Casa di Quartiere Ruozi, Casa di Quartiere Frassinetti, Casa di Quartiere Italicus, Casa Di Quartiere Croce del Biacco, Casa Di Quartiere Graf;candidato al voto;;Realizzare in ognuna delle otto Case di Quartiere del territorio una casetta dell’acqua polifunzionale e percorsi di sensibilizzazione ed educazione ambientale che permetteranno di generare un cambiamento duraturo e virtuoso sull’utilizzo dell’acqu;Cittadinanza in generale;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/case-go-green;CIRENAICA;CIRENAICA - MASSARENTI - SCANDELLARA
44.503841622669114, 11.362082819561888;"{""coordinates"": [[11.357603954218117, 44.50332531334944], [11.366561684905657, 44.504357931988785]], ""type"": ""MultiPoint""}";2023;Parchi che uniscono;San Donato - San Vitale;Giardino Parker Lennon, Giardino Gino Cervi, Giardino Bentivogli;candidato al voto;;Realizzare nuove attrezzature ludiche e sportive attraverso l’ampliamento di un progetto di inclusione sociale e culturale, per permettere a bambini e famiglie di usufruire di spazi verdi, inclusivi e accoglienti;Abitanti, famiglie e anziani;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/parchi-che-uniscono;VIA DEL LAVORO;SAN DONATO VECCHIO
44.50350524942839, 11.372771769011608;"{""coordinates"": [[11.372771769011608, 44.50350524942839]], ""type"": ""MultiPoint""}";2023;Parchi che uniscono;San Donato - San Vitale;Giardino Parker Lennon, Giardino Gino Cervi, Giardino Bentivogli;candidato al voto;;Realizzare nuove attrezzature ludiche e sportive attraverso l’ampliamento di un progetto di inclusione sociale e culturale, per permettere a bambini e famiglie di usufruire di spazi verdi, inclusivi e accoglienti;Abitanti, famiglie e anziani;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/parchi-che-uniscono;MICHELINO;SAN DONATO VECCHIO
44.492108311785714, 11.397632817346704;"{""coordinates"": [[11.397473567712282, 44.49323307946885], [11.397792066981124, 44.49098354410258]], ""type"": ""MultiPoint""}";2023;Villaggio dei colori;San Donato - San Vitale;Piazza dei colori;vincitore;;Il progetto propone di realizzare alla Piazza dei colori il Villaggio dei colori, uno spazio urbano per tutte le persone dai 0 ai 99 anni, attraverso interventi di riqualificazione della piazza e di potenziamento del verde;Tutte le persone da 0 a 99 anni;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/villaggio-dei-colori;CROCE DEL BIACCO;CROCE DEL BIACCO - ROVERI
44.48393894480791, 11.392204706256676;"{""coordinates"": [[11.392204706256676, 44.48393894480791]], ""type"": ""MultiPoint""}";2023;Case di Quartiere bene in comune;Savena;Case di Quartiere Gufo, Villa Mazzacorati, Villa Paradiso, Foscherara, San Rafel, Paleotto, Dacia;candidato al voto;;Il progetto propone una serie di interventi nelle Case di Quartiere del territorio, opere di sistemazione e ampliamento del verde, un percorso per far conoscere meglio le Case, giochi inclusivi, attività di educazione ambientale e culturale, ecc [..];Le comunità di tutto il quartiere;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/cdq-bene-in-comune;FOSSOLO;FOSSOLO - DUE MADONNE
44.44595196389932, 11.3545369694879;"{""coordinates"": [[11.3545369694879, 44.44595196389932]], ""type"": ""MultiPoint""}";2023;Tra parchi, borghi e corti lungo il Savena;Savena;Parco dei Cedri, Parco Lungosavena, Parco Paleotto e ARCI Benassi;vincitore;;Riqualificare le aree verdi e i punti di aggregazione al Parco dei Cedri, Parco del Paleotto e Parco del Lungosavena (in particolare Corte Bellaria), potenziando i collegamenti ciclopedonali e incentivando luoghi d’interesse come circolo ARCI Benassi;Tutte le persone, con particolare attenzione a famiglie, bambini, persone con disabilità;;https://www.comune.bologna.it/partecipa/percorsi/bilancio-partecipativo-23/tra-parchi-borghi-e-corti-lungo-il-savena;MONTE DONATO;VIA TOSCANA - S. RUFFILLO - MONTE DONATO
44.511073891370444, 11.2832876979759;"{""coordinates"": [[[11.2832164114637, 44.5109633983301], [11.2833589844881, 44.5111843844108]]], ""type"": ""MultiLineString""}";2017;Il sogno delle ciclabili del parco città campagna;Borgo Panigale - Reno;via Olmetola, via Galeazza, Parco delle Querce, via del Faggiolo, Via Sciesa, Via Panigale [..];realizzato;zona di intervento;Muoversi in bici tra Borgo Panigale, Villa Bernaroli e Bologna;Il progetto vede come beneficiari principali la cittadinanza con le sue realtà associative che frequentano l’area. In particolare si rivolge a nuclei familiari che frequentano il Parco Città Campagna nel fine settimana, orticoltori, consumatori [..];130000.0;;TRIUMVIRATO-PIETRA;CASTELDEBOLE - PONTELUNGO
